7仔	7仔 🏪
打畀我	打畀我 🤙
打筋斗	打筋斗 🤸🏻
打筋斗女	打筋斗女 🤸🏻‍♀️
打筋斗男	打筋斗男 🤸🏻‍♂️
打籃球	打籃球 ⛹🏻
打籃球女	打籃球女 ⛹🏻‍♀️
打籃球男	打籃球男 ⛹🏻‍♂️
打給我	打給我 🤙
打邊爐	打邊爐 🍲
打針	打針 💉
打開	打開 🔛
打關斗	打關斗 🤸🏻
打關斗女	打關斗女 🤸🏻‍♀️
打關斗男	打關斗男 🤸🏻‍♂️
打雷	打雷 🌩
打鼓	打鼓 🥁
打鼻鼾	打鼻鼾 😴
托克勞	托克勞 🇹🇰
扣針	扣針 🧷
扭結餅	扭結餅 🥨
扮鬼	扮鬼 👻
扳手	扳手 🔧️ 🛠️
批	批 🥧
找換	找換 💱
技工	技工 🧑🏻‍🔧
技工女	技工女 👩🏻‍🔧
技工男	技工男 👨🏻‍🔧
技師	技師 🧑🏻‍🔧
技師女	技師女 👩🏻‍🔧
技師男	技師男 👨🏻‍🔧
把戲	把戲 🤹🏻
把戲女	把戲女 🤹🏻‍♀️
把戲男	把戲男 🤹🏻‍♂️
抓狂	抓狂 🤯
抓緊	抓緊 ✊
投票	投票 🗳️
折扣	折扣 🈹️️
披薩	披薩 🍕
抱抱	抱抱 👐 🤗
抱歉	抱歉 😔 🙇🏻
抱歉女	抱歉女 🙇🏻‍♀️
抱歉男	抱歉男 🙇🏻‍♂️
抵擋	抵擋 🛡️
抹茶	抹茶 🍵
抽煙	抽煙 🚬
拇指	拇指 👍
拉炮	拉炮 🎉
拉脫維亞	拉脫維亞 🇱🇻
拉麪	拉麪 🍜
拉麵	拉麵 🍜
拍戲	拍戲 🎬️
拍手	拍手 👏
拍拖	拍拖 👨‍❤️‍👨 👩‍❤️‍👩 💑🏻️
拖手	拖手 👫🏻️ 👬🏻️ 👭🏻️ 🧑🏻‍🤝‍🧑🏻
拖拉機	拖拉機 🚜
拜拜	拜拜 👋
拜託	拜託 🥺
拳	拳 ✊ 👊 🤛 🤜
拳套	拳套 🥊
拳擊	拳擊 🥊
拼圖	拼圖 🧩
指	指 🈯️️
指北針	指北針 🧭
指南針	指南針 🧭
指數	指數 💹
指環	指環 💍️
按摩	按摩 💆🏻
按摩女	按摩女 💆🏻‍♀️
按摩男	按摩男 💆🏻‍♂️
按鈕	按鈕 🔘
按鈴	按鈴 🛎️
挖礦	挖礦 ⛏
挪威	挪威 🇳🇴
挫折	挫折 😑 😩 😫
振動	振動 📳
捂嘴	捂嘴 🙊
捂耳朵	捂耳朵 🙉
捂臉	捂臉 🙈
捅	捅 🔪
捉弄	捉弄 😈
捉緊	捉緊 ✊
捏	捏 🤏
捧	捧 🤲
捲紙	捲紙 🧻
捲餅	捲餅 🌯 🥙
捲髮	捲髮 🧑🏻‍🦱
捲髮女	捲髮女 👩🏻‍🦱
捲髮男	捲髮男 👨🏻‍🦱
捷克	捷克 🇨🇿
捷運	捷運 🚇
掃帚	掃帚 🧹
掃把	掃把 🧹
掉垃圾	掉垃圾 🚮
掌心	掌心 🤲
排球	排球 🏐
排骨	排骨 🍖
掘金	掘金 ⛏
掙扎	掙扎 😣
掛曆	掛曆 📆 🗓️
掟煲	掟煲 💔️
掟色	掟色 🎲️
掟鏢	掟鏢 🎯
探究	探究 🧐
掣	掣 🔘
接吻	接吻 💏 😘
接納	接納 👐
接電話	接電話 📲️
推車	推車 🛒
提子	提子 🍇
提款	提款 🏧️
提款卡	提款卡 💳
提款機	提款機 🏧️
提琴	提琴 🎻
提醒	提醒 🔔
插蘇	插蘇 🔌️
插頭	插頭 🔌️
揚聲器	揚聲器 🔈
揞住嘴	揞住嘴 🙊
揞口	揞口 🤐 🤭
揞眼	揞眼 🙈
揞耳仔	揞耳仔 🙉
握手	握手 🤝
揮手	揮手 👋 🙋🏻
揮手女	揮手女 🙋🏻‍♀️
揮手男	揮手男 🙋🏻‍♂️
揮灑	揮灑 💦
揼	揼 ✊ 👊
揼骨	揼骨 💆🏻
揼骨女	揼骨女 💆🏻‍♀️
揼骨男	揼骨男 💆🏻‍♂️
搖搖	搖搖 🪀
搖桿	搖桿 🕹️
搖滾	搖滾 🤘
搜尋	搜尋 🔍️ 🔎️
搜索	搜索 🔍️ 🔎️
搞基	搞基 👨‍❤️‍👨
搞怪	搞怪 🤓
搞掂	搞掂 👌
搣時	搣時 👩🏻‍🏫
搽指甲	搽指甲 💅🏻️
摔角	摔角 🤼🏻 🤼🏻‍♀️
摔角手	摔角手 🤼🏻
摔角手女	摔角手女 🤼🏻‍♀️
摔角手男	摔角手男 🤼🏻‍♂️
摔跤	摔跤 🤼🏻
摔跤女	摔跤女 🤼🏻‍♀️
摔跤男	摔跤男 🤼🏻‍♂️
摙車	摙車 🏎
摙頭	摙頭 💆🏻
摙頭女	摙頭女 💆🏻‍♀️
摙頭男	摙頭男 💆🏻‍♂️
摩天輪	摩天輪 🎡
摩托艇	摩托艇 🛥️
摩托車	摩托車 🏍️
摩洛哥	摩洛哥 🇲🇦
摩爾多瓦	摩爾多瓦 🇲🇩
摩納哥	摩納哥 🇲🇨
摩羯座	摩羯座 ♑️️
摩艾	摩艾 🗿
撐傘	撐傘 ☔️️
撐艇	撐艇 🚣🏻
撐艇女	撐艇女 🚣🏻‍♀️
撐艇男	撐艇男 🚣🏻‍♂️
撒拉威	撒拉威 🇪🇭
撚樣	撚樣 🤬
撞	撞 💥
播放	播放 ⏯️ ▶️️
撲克	撲克 ♠️️ ♣️️ ♥️️ ♦️️ 🃏️
撳錢	撳錢 🏧️
撳鐘	撳鐘 🛎️
擁抱	擁抱 🤗
擊劍	擊劍 🤺
擊掌	擊掌 🖐
操控桿	操控桿 🕹️
擔心	擔心 😟
擔擾	擔擾 😟
擔遮	擔遮 ☔️️
擤鼻涕	擤鼻涕 🤧
擲色	擲色 🎲️
擲骰	擲骰 🎲️
擴音器	擴音器 📢 📣️
攀岩	攀岩 🧗🏻
攀岩女	攀岩女 🧗🏻‍♀️
攀岩男	攀岩男 🧗🏻‍♂️
攀登	攀登 🧗🏻
攀登女	攀登女 🧗🏻‍♀️
攀登男	攀登男 🧗🏻‍♂️
攀石	攀石 🧗🏻
攀石女	攀石女 🧗🏻‍♀️
攀石男	攀石男 🧗🏻‍♂️
攜手	攜手 👫🏻️ 🧑🏻‍🤝‍🧑🏻
攝像機	攝像機 🎥 📹️
攝影機	攝影機 🎥 📹️
攝石	攝石 🧲
攝錄機	攝錄機 🎥 📹️
攣	攣 👨‍❤️‍👨 👩‍❤️‍👩
攣毛	攣毛 🧑🏻‍🦱
攣毛女	攣毛女 👩🏻‍🦱
攣毛男	攣毛男 👨🏻‍🦱
攤手	攤手 🤷🏻
攤手女	攤手女 🤷🏻‍♀️ 🤷🏻‍♂️
攪基	攪基 👨‍❤️‍👨
攬攬	攬攬 👐 🤗
攰	攰 😑 😩 😫 😴
收件	收件 📩
收件匣	收件匣 📥️
收件箱	收件箱 📥️
收信	收信 📨 📩
收工	收工 🕔
收據	收據 🧾
收聲	收聲 🤐
收費	收費 🈂️️
收費服務	收費服務 🈂️️
收郵件	收郵件 📩
收音機	收音機 📻
放大鏡	放大鏡 🔍️ 🔎️
放射	放射 ☢️
放屁	放屁 💨️
放映機	放映機 📽️
放閃	放閃 💖
故障	故障 👾
救傷車	救傷車 🚑
救命	救命 🆘️️
救援	救援 ⛑
救火車	救火車 🚒
救生衣	救生衣 🦺
救護車	救護車 🚑
敘利亞	敘利亞 🇸🇾
教堂	教堂 ⛪️ 💒
教師	教師 🧑🏻‍🏫
教師女	教師女 👩🏻‍🏫
教師男	教師男 👨🏻‍🏫
教書	教書 🧑🏻‍🏫
教書女	教書女 👩🏻‍🏫
教書男	教書男 👨🏻‍🏫
散銀包	散銀包 👛
敬禮	敬禮 🖖
整蠱	整蠱 😈 😜
整路	整路 🚧
整頭髮	整頭髮 💇🏻
整頭髮女	整頭髮女 💇🏻‍♀️
整頭髮男	整頭髮男 💇🏻‍♂️
數字	數字 🔢️
數字光碟	數字光碟 📀️
數據	數據 📊
數碼光碟	數碼光碟 📀️
數簿	數簿 📒
文件	文件 📃 📄️
文件夾	文件夾 📁️ 📂️
文件櫃	文件櫃 🗄️
文書	文書 📃 📄️
文獻	文獻 📜
文職	文職 🗂️
斐濟	斐濟 🇫🇯
斑馬	斑馬 🦓
斑鳩琴	斑鳩琴 🪕
斧	斧 🪓
斯威士蘭	斯威士蘭 🇸🇿
斯洛伐克	斯洛伐克 🇸🇰
斯洛文尼亞	斯洛文尼亞 🇸🇮
斯洛維尼亞	斯洛維尼亞 🇸🇮
斯諾克	斯諾克 🎱️
斯里蘭卡	斯里蘭卡 🇱🇰
新	新 🆕️️
新加坡	新加坡 🇸🇬
新喀里多尼亞	新喀里多尼亞 🇳🇨
新娘	新娘 👰🏻️
新年	新年 🎆
新幹線	新幹線 🚄 🚅
新手	新手 🔰
新月	新月 🌑 🌚️
新聞	新聞 📰️ 🗞️
新西蘭	新西蘭 🇳🇿
新郎	新郎 🤵🏻
方塊	方塊 ♦️️ ⬛️ ⬜️
方程式	方程式 🏎
施工	施工 🚧
旋轉木馬	旋轉木馬 🎠
旋鈕	旋鈕 🎛️
旋風	旋風 🌀️
旗	旗 🏳️ 🏴️
旗仔	旗仔 🚩
日	日 🌞️
日元	日元 💴️
日光	日光 🌞️
日円	日円 💴️
日出	日出 🌄️ 🌅️
日圓	日圓 💴️
日暮	日暮 🌇️
日曆	日曆 📅 📆 🗓️
日本	日本 🇯🇵 🗾
日本娃娃	日本娃娃 🎎️
日本郵局	日本郵局 🏣
日落	日落 🌆️ 🌇️
早晨	早晨 🌄️ 🌅️
旺	旺 🔥
明亮	明亮 🌞️ 🔆️
明星	明星 🧑🏻‍🎤
明星女	明星女 👩🏻‍🎤
明星男	明星男 👨🏻‍🎤
星	星 ✨
星加坡	星加坡 🇸🇬
星夜	星夜 🌃️
星星	星星 ⭐️ 🌟
星星眼	星星眼 🤩
星月	星月 ☪️
星架坡	星架坡 🇸🇬
星空	星空 🌌️
星章	星章 🎖️
星系	星系 🌌️
星號	星號 *️⃣️ ✳️️ ✴️️
星號鍵	星號鍵 *️⃣️
是但	是但 🤷🏻
是但女	是但女 🤷🏻‍♀️ 🤷🏻‍♂️
時計	時計 ⏲️
時鐘酒店	時鐘酒店 🏩️
晚安	晚安 💤
晚黑	晚黑 🌉
晚黑嘅橋	晚黑嘅橋 🌉
普雷結	普雷結 🥨
晴	晴 ☀️
晴偶有雲	晴偶有雲 🌤
晴天	晴天 ☀️
晴朗	晴朗 ☀️
晴空	晴空 ☀️
晴間多雲	晴間多雲 🌥
智利	智利 🇨🇱
智慧	智慧 😇
暈	暈 😵 🥴
暈頭轉向	暈頭轉向 💫
暢通易達	暢通易達 ♿️️
暫停	暫停 ⏯️ ⏸️
暮光	暮光 🌆️
暮色	暮色 🌆️
暴龍	暴龍 🦖
曲克羣島	曲克羣島 🇨🇰
曲奇	曲奇 🍪
曲棍球	曲棍球 🏑 🏒
曲棍網球	曲棍網球 🥍
曲譜	曲譜 🎼
曳	曳 👻 😜 🤪
書	書 📕 📖 📗️ 📘️ 📙️ 📚️
書包	書包 🎒
書寫	書寫 ✍️
書籤	書籤 📑️ 🔖
曼島	曼島 🇮🇲
月	月 🈷️️ 🌝️
月亮	月亮 🌕 🌝️
月亮公公	月亮公公 🌚️
月光	月光 🌝️
月圓	月圓 🌕
月彎彎	月彎彎 🌛 🌜
月牙	月牙 🌒
月神	月神 🌝️
月老	月老 💘
月色	月色 🌃️
月芽	月芽 🌙 🌛 🌜
月蝕	月蝕 🌑
月食	月食 🌑
月餅	月餅 🥮
月黑風高	月黑風高 🌚️
有	有 🈶️️
有害	有害 ☢️ ☣️
有待收郵件	有待收郵件 📫️
有新郵件	有新郵件 📫️ 📬️
有毒	有毒 ☠️️
有車	有車 🚘
有軌電車	有軌電車 🚃 🚊 🚋
有郵件	有郵件 📫️ 📬️
有錢	有錢 💰️
有雨	有雨 🌧
有電	有電 ⚡️️
有霧	有霧 🌁
服務員	服務員 💁🏻
服務員女	服務員女 💁🏻‍♀️
服務員男	服務員男 💁🏻‍♂️
服務犬	服務犬 🐕‍🦺
服務鈴	服務鈴 🛎️
服務鐘	服務鐘 🛎️
朔	朔 🌑
望	望 👀
望遠鏡	望遠鏡 🔭
朝陽	朝陽 🌄️
朝鮮	朝鮮 🇰🇵
木槿	木槿 🌺
未成年人不宜	未成年人不宜 🔞
朱古力	朱古力 🍫
朱古力曲奇	朱古力曲奇 🍪
条城	条城 🏯
杯式蛋糕	杯式蛋糕 🧁
東京塔	東京塔 🗼
東京鐵塔	東京鐵塔 🗼
東加	東加 🇹🇴
東帝汶	東帝汶 🇹🇱
東正教	東正教 ☦️
松樹	松樹 🌲
松鼠	松鼠 🐿️
板栗	板栗 🌰
板球	板球 🏏
果嶺	果嶺 ⛳️
果汁	果汁 🍹 🧃
枯萎	枯萎 🥀
枯葉	枯葉 🍂
枱曆	枱曆 🗓️
架生	架生 ⚒️ 🛠️
柏樹	柏樹 🌳
柑	柑 🍊
柑橘	柑橘 🍊
柒頭	柒頭 🤬
柔道	柔道 🥋
柔道男	柔道男 🤼🏻‍♂️
查德	查德 🇹🇩
查找	查找 🔍️ 🔎️
柬埔寨	柬埔寨 🇰🇭
柯爾克孜	柯爾克孜 🇰🇬
柴油	柴油 ⛽️️
栗子	栗子 🌰
校光	校光 🔆️
校暗	校暗 🔅
核	核 ☢️
核突	核突 🤢 🤮
根息	根息 🇬🇬
根西	根西 🇬🇬
格仔旗	格仔旗 🏁
格仔餅	格仔餅 🧇
格林納達	格林納達 🇬🇩
格瑞那達	格瑞那達 🇬🇩
格蘭披治	格蘭披治 🏎
格陵蘭	格陵蘭 🇬🇱
格魯吉亞	格魯吉亞 🇬🇪
桃	桃 🍑
桃花	桃花 🌸
案內	案內 ℹ️️
桌上型	桌上型 🖥️
桌機	桌機 🖥️
桌球	桌球 🎱️
桑拿	桑拿 🧖🏻
桑拿女	桑拿女 🧖🏻‍♀️
桑拿男	桑拿男 🧖🏻‍♂️
梅花	梅花 ♣️️ 🌸
梅花鹿	梅花鹿 🦌
條城	條城 🏯
條形圖	條形圖 📊
梨	梨 🍐
梳化	梳化 🛋️
梵文	梵文 🕉️
梵蒂岡	梵蒂岡 🇻🇦
棍網球	棍網球 🥍
棒	棒 👍 💯️ 🤩
棒棒糖	棒棒糖 🍭
棒球	棒球 ⚾️
棕圓	棕圓 🟤
棕心	棕心 🤎
棕櫚樹	棕櫚樹 🌴
棕熊	棕熊 🐻️
棺材	棺材 ⚰️️
椅	椅 💺 🪑
植物	植物 ☘️ 🍀
椒鹽卷餅	椒鹽卷餅 🥨
椰子	椰子 🥥
椰子樹	椰子樹 🌴
楓葉	楓葉 🍁
槍	槍 🔫️
槓鈴	槓鈴 🏋🏻️
槓鈴女	槓鈴女 🏋🏻‍♀️
槓鈴男	槓鈴男 🏋🏻‍♂️
樂曲	樂曲 🎼
樂譜	樂譜 🎼
樓盤	樓盤 🏘
標汗	標汗 😰
標籤	標籤 🏷️ 📑️
模里西斯	模里西斯 🇲🇺
樹	樹 🌲 🌳
樹懶	樹懶 🦥
樹獺	樹獺 🦥
樹苗	樹苗 🌱
樹袋熊	樹袋熊 🐨
樽	樽 🏺
橄欖枝	橄欖枝 🕊️
橄欖球	橄欖球 🏈 🏉️
橋	橋 🌉 💭
橘子	橘子 🍊
橙	橙 🍊 🟧
橙圓	橙圓 🟠
橙心	橙心 🧡
機位	機位 💺
機動船	機動船 🛥️
機器人	機器人 🤖
機師	機師 🧑🏻‍✈️
機師女	機師女 👩🏻‍✈️
機師男	機師男 👨🏻‍✈️
機械人	機械人 🤖
機械師	機械師 🧑🏻‍🔧
機械師女	機械師女 👩🏻‍🔧
機械師男	機械師男 👨🏻‍🔧
機械手臂	機械手臂 🦾
機械腿	機械腿 🦿
機械臂	機械臂 🦾
機長	機長 🧑🏻‍✈️
機長女	機長女 👩🏻‍✈️
機長男	機長男 👨🏻‍✈️
機靈	機靈 😉
檐蛇	檐蛇 🦎
檔案	檔案 🗂️
檔案夾	檔案夾 📁️ 📂️
檔案櫃	檔案櫃 🗄️
檯球	檯球 🎱️
檸檬	檸檬 🍋
櫃員機	櫃員機 🏧️
櫻桃	櫻桃 🍒
櫻花	櫻花 🌸
欖球	欖球 🏈 🏉️
欺騙	欺騙 🤥
歌唱	歌唱 〽️️
歌手	歌手 🧑🏻‍🎤
歌手女	歌手女 👩🏻‍🎤
歌手男	歌手男 👨🏻‍🎤
歌星	歌星 🧑🏻‍🎤
歌星女	歌星女 👩🏻‍🎤
歌星男	歌星男 👨🏻‍🎤
歐元	歐元 💶️
歐共體	歐共體 🇪🇺
歐圓	歐圓 💶️
歐洲	歐洲 🌍️
歐盟	歐盟 🇪🇺
歐羅	歐羅 💶️
歡呼	歡呼 🙌 🥳
歡慶	歡慶 🙌
止血膠布	止血膠布 🩹
止血貼	止血貼 🩹
正	正 🤩
正中紅心	正中紅心 🎯
正裝	正裝 🕴🏻️
武器	武器 ⚔️
武術	武術 🥋
死	死 ☠️️ 💀
死亡	死亡 ⚰️️
死機	死機 👾
殘月	殘月 🌘
殘疾	殘疾 ♿️️ 🧑🏻‍🦼 🧑🏻‍🦽
殘疾人女	殘疾人女 👩🏻‍🦼 👩🏻‍🦽
殘疾人男	殘疾人男 👨🏻‍🦼 👨🏻‍🦽
殘疾女	殘疾女 👩🏻‍🦼 👩🏻‍🦽
殘疾男	殘疾男 👨🏻‍🦼 👨🏻‍🦽
殘陽	殘陽 🌇️
殭屍	殭屍 🧟
殭屍女	殭屍女 🧟‍♀️
殭屍男	殭屍男 🧟‍♂️
殺	殺 🔪 🔫️
母女	母女 👩‍👧
母嬰室	母嬰室 🚼
母子	母子 👩‍👦
比	比 🆚️️
比利時	比利時 🇧🇪
比基尼	比基尼 👙️
比堅尼	比堅尼 👙️
比薩	比薩 🍕
比高	比高 🥯
毛厘士	毛厘士 🇲🇺
毛毛蟲	毛毛蟲 🐛
毛線	毛線 🧶
毛里塔尼亞	毛里塔尼亞 🇲🇷
毛里求斯	毛里求斯 🇲🇺
民主剛果	民主剛果 🇨🇩
民國	民國 🇹🇼
氣旋	氣旋 🌀️
氣泡	氣泡 👁️‍🗨️ 💬 🗯️
氣球	氣球 🎈️
氫彈	氫彈 ☢️
水	水 💧️
水仗	水仗 🔫️
水晶球	水晶球 🔮
水槍	水槍 🔫️
水牛	水牛 🐃
水獺	水獺 🦦
水球	水球 🤽🏻
水球女	水球女 🤽🏻‍♀️
水球手	水球手 🤽🏻
水球手女	水球手女 🤽🏻‍♀️
水球手男	水球手男 🤽🏻‍♂️
水球男	水球男 🤽🏻‍♂️
水瓶座	水瓶座 ♒️️
水稻	水稻 🌾
水蜜桃	水蜜桃 🍑
水餃	水餃 🥟
水鴨	水鴨 🦆
永遠	永遠 ♾️
求救	求救 🆘️️
求求你	求求你 🥺
汗	汗 💦 😅 😓 😥
江豚	江豚 🐡️
汶萊	汶萊 🇧🇳
汽水	汽水 🥤
汽油	汽油 ⛽️️
沃门	沃门 🇲🇴
沉思	沉思 😔
沉默	沉默 😶
沐浴露	沐浴露 🧴
沒問題	沒問題 👌
沒有待收郵件	沒有待收郵件 📪️
沒有新郵件	沒有新郵件 📪️ 📭️
沒有郵件	沒有郵件 📪️ 📭️
沒眼看	沒眼看 🙈
沒臉見人	沒臉見人 🙈
沒說	沒說 🙊
沒錢	沒錢 💸️
沖涼	沖涼 🚿
沙冰	沙冰 🍧
沙地阿拉伯	沙地阿拉伯 🇸🇦
沙律	沙律 🥗
沙拉	沙拉 🥗
沙漏	沙漏 ⌛️️ ⏳️
沙漠	沙漠 🌵 🏜
沙灘	沙灘 🏖️
沙灘小島	沙灘小島 🏝
沙烏地阿拉伯	沙烏地阿拉伯 🇸🇦
沙特阿拉伯	沙特阿拉伯 🇸🇦
沙發	沙發 🛋️
沮喪	沮喪 😕 😖 😞 🙍🏻
沮喪女	沮喪女 🙍🏻‍♀️
沮喪男	沮喪男 🙍🏻‍♂️
河豚	河豚 🐡️
河馬	河馬 🦛
河马	河马 🦛
油桶	油桶 🛢️
油燈	油燈 🪔
油站	油站 ⛽️️
泊車	泊車 🅿️️
法國	法國 🇫🇷
法國王室	法國王室 ⚜️️
法官	法官 🧑🏻‍⚖️
法官女	法官女 👩🏻‍⚖️
法官男	法官男 👨🏻‍⚖️
法屬南部領地	法屬南部領地 🇹🇫
法屬圭亞那	法屬圭亞那 🇬🇫
法屬波利尼西亞	法屬波利尼西亞 🇵🇫
法屬玻里尼西亞	法屬玻里尼西亞 🇵🇫
法師	法師 🧙🏻
法師女	法師女 🧙🏻‍♀️
法師男	法師男 🧙🏻‍♂️
法式長棍	法式長棍 🥖
法拉利	法拉利 🏎
法棍	法棍 🥖
法羅羣島	法羅羣島 🇫🇴
法蘭西	法蘭西 ⚜️️ 🇫🇷
法輪	法輪 ☸️
泡湯	泡湯 ♨️️
波	波 ⚽️ ⚾️
波利維亞	波利維亞 🇧🇴
波士尼亞	波士尼亞 🇧🇦
波士尼亞赫塞哥維納	波士尼亞赫塞哥維納 🇧🇦
波多黎各	波多黎各 🇵🇷
波斯	波斯 🇮🇷
波斯尼亞	波斯尼亞 🇧🇦
波斯尼亞和黑塞哥維納	波斯尼亞和黑塞哥維納 🇧🇦
波札那	波札那 🇧🇼
波板糖	波板糖 🍭
波棍	波棍 🕹️
波浪	波浪 🌊
波浪綫	波浪綫 〰️️
波浪線	波浪線 〰️️
波茨華拿	波茨華拿 🇧🇼
波蘭	波蘭 🇵🇱
波衫	波衫 🎽
波鞋	波鞋 👟
波黑	波黑 🇧🇦
注射	注射 💉
泰國	泰國 🇹🇭
泰迪熊	泰迪熊 🧸
泳衣	泳衣 🩱
泳裝	泳裝 👙️
泳褲	泳褲 🩲
洋服	洋服 👗️
洋芋	洋芋 🥔
洋蔥	洋蔥 🧅
洋酒	洋酒 🥃
洗劑	洗劑 🧴
洗手間	洗手間 🚻 🚾
洗浴	洗浴 🛀🏻️
洗澡	洗澡 🛀🏻️
洗頭水	洗頭水 🧴
洗髮露	洗髮露 🧴
洞	洞 🕳️
津巴布韋	津巴布韋 🇿🇼
洪都拉斯	洪都拉斯 🇭🇳
派	派 🥧
流口水	流口水 🤤
流星	流星 🌠️
流星雨	流星雨 🌠️
流淚	流淚 😢 😭 😿
流眼淚	流眼淚 😢 😿
流血	流血 🩸
流鼻涕	流鼻涕 🤧
浣熊	浣熊 🦝
浪	浪 🌊
浮潛	浮潛 🤿
浴盆	浴盆 🛁
浴缸	浴缸 🛁
海上日出	海上日出 🌅️
海地	海地 🇭🇹
海島	海島 🏝
海棠	海棠 🌺
海洋	海洋 🌊
海浪	海浪 🌊
海灘	海灘 🏖️
海產	海產 🐟️
海盜	海盜 🏴‍☠️
海盜旗	海盜旗 🏴‍☠️
海綿	海綿 🧽
海螺	海螺 🐚️
海豚	海豚 🐬️
海關	海關 🛃
海鮮	海鮮 🐟️
海鮮燉飯	海鮮燉飯 🥘
浸浴	浸浴 🛀🏻️
消防	消防 🧑🏻‍🚒
消防員	消防員 🧑🏻‍🚒
消防員女	消防員女 👩🏻‍🚒
消防員男	消防員男 👨🏻‍🚒
消防車	消防車 🚒
涼鞋	涼鞋 👡️
淋浴	淋浴 🚿
淑女帽	淑女帽 👒
淚	淚 😢 😭 😿
深夜	深夜 🌃️
清晨	清晨 🌄️
清真寺	清真寺 🕌
清空	清空 🆑️️
清酒	清酒 🍶
清除	清除 🆑️️
減	減 ➖️
渡假	渡假 🏖️
渡輪	渡輪 ⛴
温度計	温度計 🌡️
渴望	渴望 🤤
游水	游水 🏊🏻
游水女	游水女 🏊🏻‍♀️
游水男	游水男 🏊🏻‍♂️
游泳	游泳 🏊🏻
游泳女	游泳女 🏊🏻‍♀️
游泳男	游泳男 🏊🏻‍♂️
游艇	游艇 ⛵️
湯加	湯加 🇹🇴
湯麪	湯麪 🍜
湯麵	湯麵 🍜
満	満 🈵️️
溜冰鞋	溜冰鞋 ⛸
溜溜球	溜溜球 🪀
溫度計	溫度計 🌡️
溫泉	溫泉 ♨️️
溫納圖	溫納圖 🇻🇺
溶劑	溶劑 🧪
溶液	溶液 🧪
滅火器	滅火器 🧯
滅火筒	滅火筒 🧯
滑動開關	滑動開關 🎚
滑板	滑板 🛹
滑板車	滑板車 🛴
滑桿	滑桿 🎚
滑稽	滑稽 😏 😼
滑雪	滑雪 ⛷ 🎿 🏂🏻️
滑雪板	滑雪板 🎿
滑鼠	滑鼠 🖱️
滴滴金	滴滴金 🎇
滴血	滴血 🩸
滿	滿 🈵️️
滿分	滿分 💯️
滿月	滿月 🌕 🌝️
滿足	滿足 🥴
漁女	漁女 🧜🏻‍♀️
演唱會	演唱會 🎫
演戲	演戲 🎭
演說	演說 🗣️
演講	演講 🗣️
漠然	漠然 😶
漢堡包	漢堡包 🍔
漢服	漢服 👘️
漫步	漫步 🚶🏻
漫步女	漫步女 🚶🏻‍♀️
漫步男	漫步男 🚶🏻‍♂️
漲	漲 🆙️️ 📈
潛水	潛水 🤿
潛水鏡	潛水鏡 🤿 🥽
潤膚乳	潤膚乳 🧴
澡盆	澡盆 🛁
澤西	澤西 🇯🇪
澤西島	澤西島 🇯🇪
澳大利亞	澳大利亞 🇦🇺
澳洲	澳洲 🇦🇺 🌏️
澳門	澳門 🇲🇴
激動	激動 💗
濕平	濕平 🛍️
灌木	灌木 🌳
灑水	灑水 💦
火	火 🔥
火山	火山 🌋️
火山噴發	火山噴發 🌋️
火烈鳥	火烈鳥 🦩
火燭車	火燭車 🚒
火箭	火箭 🚀
火花	火花 ❇️️ 💥
火車	火車 🚃 🚆 🚞
火車凳	火車凳 💺
火車座	火車座 💺
火車站	火車站 🚉
火車頭	火車頭 🚂
火鍋	火鍋 🍲
火雞	火雞 🦃
炎熱	炎熱 🥵
炮仗	炮仗 🧨
炸彈	炸彈 💣️
炸死	炸死 💣️
炸蝦	炸蝦 🍤
為什麼	為什麼 🤔
為食	為食 🤤
烏克蘭	烏克蘭 🇺🇦
烏兹別克	烏兹別克 🇺🇿
烏干達	烏干達 🇺🇬
烏拉圭	烏拉圭 🇺🇾
烏賊	烏賊 🦑
烏鱡	烏鱡 🦑
烏龜	烏龜 🐢️
烤餅	烤餅 🥞
焗桑拿	焗桑拿 🧖🏻
焗桑拿女	焗桑拿女 🧖🏻‍♀️
焗桑拿男	焗桑拿男 🧖🏻‍♂️
焗飯	焗飯 🥘
焙果	焙果 🥯
無	無 🈚️️
無助	無助 🙍🏻
無助女	無助女 🙍🏻‍♀️
無助男	無助男 🙍🏻‍♂️
無奈	無奈 😑
無尾能	無尾能 🐨
無待收郵件	無待收郵件 📪️
無情	無情 😐
無新郵件	無新郵件 📪️ 📭️
無神論	無神論 ⚛️
無窮	無窮 ♾️
無精打采	無精打采 🥀
無聊	無聊 😑 😴
無語	無語 😐 😶
無軌電車	無軌電車 🚎
無辜	無辜 😐 🥺
無郵件	無郵件 📪️ 📭️
無限	無限 ♾️
無障礙	無障礙 ♿️️
焦糖布丁	焦糖布丁 🍮
焦糖布甸	焦糖布甸 🍮
焰火	焰火 🎆
煎蛋	煎蛋 🍳
煎餅	煎餅 🥞
煙	煙 🚬
煙囪	煙囪 🏭
煙火	煙火 🎆
煙肉	煙肉 🥓
煙花	煙花 🎆
煙霞	煙霞 🌫
照相	照相 📸
照相機	照相機 📷
煨番薯	煨番薯 🍠
煨蕃薯	煨蕃薯 🍠
煩	煩 😩 😫
煲呔	煲呔 🎀
熄機	熄機 📴️
熊	熊 🐻️
熊啤啤	熊啤啤 🧸
熊市	熊市 📉
熊貓	熊貓 🐼️
熒幕	熒幕 🖥️
