7仔	7仔 🏪
偵探男	偵探男 🕵🏻‍♂️
偷笑	偷笑 😏 😼 🤭
傍晚	傍晚 🌆️
傘	傘 ☂️️ ☔️️ 🌂️
備忘錄	備忘錄 📝
備註	備註 📝
傳呼機	傳呼機 📟️
傳真	傳真 📠️
傷	傷 🤕
傷健	傷健 ♿️️ 🧑🏻‍🦼 🧑🏻‍🦽
傷健人士女	傷健人士女 👩🏻‍🦼 👩🏻‍🦽
傷健人士男	傷健人士男 👨🏻‍🦼 👨🏻‍🦽
傷心	傷心 😕 😖 😢 😥 😿
傷殘	傷殘 ♿️️ 🧑🏻‍🦼 🧑🏻‍🦽
傷殘人士女	傷殘人士女 👩🏻‍🦼 👩🏻‍🦽
傷殘人士男	傷殘人士男 👨🏻‍🦼 👨🏻‍🦽
傻	傻 🤪
傻豬	傻豬 🐷️
像素遊戲	像素遊戲 👾
優惠	優惠 🈹️️
儲蓄卡	儲蓄卡 💳
元宵	元宵 🏮
兄弟	兄弟 👬🏻️
先生	先生 👨🏻‍🏫 🧑🏻‍🏫
光明	光明 🌞️
光猛	光猛 ☀️
光碟	光碟 💿️ 📀️
光頭	光頭 🧑🏻‍🦲
光頭佬	光頭佬 👨🏻‍🦲
光頭女	光頭女 👩🏻‍🦲
光頭婆	光頭婆 👩🏻‍🦲
光頭男	光頭男 👨🏻‍🦲
克爾白	克爾白 🕋️
克羅地亞	克羅地亞 🇭🇷
克羅埃西亞	克羅埃西亞 🇭🇷
兌換	兌換 💱
免打擾	免打擾 🔕
免費	免費 🆓️️ 🈚️️
免費電話	免費電話 ➿️
兒	兒 👦🏻️
兒子	兒子 👦🏻️
兒童	兒童 👦🏻️ 🧒🏻
兒童不宜	兒童不宜 🔞
兔	兔 🐇️ 🐰️
兔女郎	兔女郎 👯🏻
兔女郎女	兔女郎女 👯🏻‍♀️
兔女郎男	兔女郎男 👯🏻‍♂️
入場券	入場券 🎟
入境處	入境處 🛂
入油	入油 ⛽️️
內地	內地 🇨🇳
內心	內心 💭
內褲	內褲 🩲
全家	全家 👨‍👩‍👦 👨‍👩‍👦‍👦 👨‍👩‍👧 👨‍👩‍👧‍👦 👨‍👩‍👧‍👧
兩人	兩人 👥️
兩個人	兩個人 👥️
兩個女人	兩個女人 👭🏻️
兩個男人	兩個男人 👬🏻️
兩儀	兩儀 ☯️
兩子乸	兩子乸 👩‍👦
兩子爺	兩子爺 👨‍👦
兩母女	兩母女 👩‍👧
兩父女	兩父女 👨‍👧
兩點	兩點 🕑
兩點半	兩點半 🕝️
八	八 8️⃣
八爪魚	八爪魚 🐙️
八芒星	八芒星 ✳️️
八角星	八角星 ✴️️
八達通	八達通 ♾️ 🐙️
八點	八點 🕗
八點半	八點半 🕣️
公	公 👴🏻️
公主	公主 👸🏻️
公事包	公事包 💼
公交車	公交車 🚌 🚍
公交車站	公交車站 🚏
公共汽車	公共汽車 🚌 🚍
公共汽車站	公共汽車站 🚏
公安	公安 👮🏻
公安女	公安女 👮🏻‍♀️
公安男	公安男 👮🏻‍♂️
公平	公平 ⚖️️
公文包	公文包 💼
公文袋	公文袋 💼
